source_id,transit_id,band,time,mag,flux,flux_error,flux_over_error,rejected_by_photometry,rejected_by_variability,other_flags,solution_id
5870123810028066048,30043579080405554,G,1940.1706973561497,16.177259647876355,6374.445772103694,22.547491768569405,282.71198,false,false,1,369295549951641967
5870123810028066048,33361006513635387,G,2000.1636627798118,14.694898183615779,24968.187475467974,318.9823673840863,78.274506,false,true,4198913,369295549951641967
5870123810028066048,33365098811147481,G,2000.2376663194275,14.662891097498004,25715.196722795175,61.57403970170791,417.6305,false,false,4198913,369295549951641967
5870123810028066048,34830440872191673,G,2026.736118165714,14.551741021776278,28487.20765482811,80.73433099729182,352.85123,false,false,4097,369295549951641967
5870123810028066048,34840181685641545,G,2026.9122641763468,14.565202173170348,28136.198598863713,96.39796531642443,291.87543,false,false,4097,369295549951641967
5870123810028066048,36567486728004383,G,2058.1475177644893,14.053632434116668,45070.59758912966,132.49006567374062,340.18097,false,false,4097,369295549951641967
5870123810028066048,36571579016593661,G,2058.2214914146025,14.055549593394506,44991.08354973695,151.28798058653584,297.38702,false,false,4198913,369295549951641967
5870123810028066048,38777096767292387,G,2098.1047129188964,13.695767922035424,62667.03125724767,125.03915102391967,501.1793,false,false,4198913,369295549951641967
5870123810028066048,39454716818114128,G,2110.358619996918,13.780399762883945,57967.74215165288,69.85294677361928,829.85394,false,false,4198913,369295549951641967
5870123810028066048,39458809116931171,G,2110.432652684101,13.773610080516555,58331.38091050651,108.03693439551677,539.9207,false,false,4097,369295549951641967
5870123810028066048,42039961010213403,G,2157.1111429508674,14.380137041015569,33365.02646300944,72.59782625553437,459.58713,false,false,4097,369295549951641967
5870123810028066048,42049701921829971,G,2157.287306212064,14.381050779314188,33336.95880041118,39.63246747271272,841.1528,false,false,1,369295549951641967
5870123810028066048,42053794200997915,G,2157.3612584010793,14.410695499042001,32439.047260216656,214.07415767876785,151.53183,false,false,6295553,369295549951641967
5870123810028066048,42063534919545839,G,2157.5374744768806,14.39778998796899,32826.93194932276,51.086316931549646,642.57776,false,false,4097,369295549951641967
5870123810028066048,42395497585202703,G,2163.5410055166967,14.528728240821021,29097.45422993658,58.898926996212644,494.0235,false,false,4097,369295549951641967
5870123810028066048,42399589855057320,G,2163.6150143180334,14.525365357285406,29187.718370411552,44.31336802816967,658.6662,false,false,1,369295549951641967
5870123810028066048,44715057483625911,G,2205.4911653185472,15.50518684869766,11837.815054070417,41.9420935291677,282.24188,false,false,4097,369295549951641967
5870123810028066048,44719149763457590,G,2205.5651770446575,15.532265030485396,11546.231953890492,40.272930559725,286.6996,false,false,4097,369295549951641967
5870123810028066048,46069406128828449,G,2229.9855985536683,16.023095728846076,7346.965466627967,55.08538199341207,133.37415,false,false,4097,369295549951641967
5870123810028066048,46073498425681596,G,2230.059611042912,16.02877040940289,7308.666182564992,34.36809768952293,212.65845,false,false,4097,369295549951641967
5870123810028066048,47700020075311245,G,2259.4764985431398,16.25594606897249,5928.8145007131825,33.87102041684128,175.04092,false,false,167937,369295549951641967
5870123810028066048,47704112379785689,G,2259.5504783139577,16.250621220589494,5957.962999586716,27.222306727797843,218.86327,false,false,4097,369295549951641967
5870123810028066048,16815966622868123,BP,1700.9510967929577,18.794360209943825,419.57652749095655,37.584453427169564,11.163566,false,false,0,369295549951641967
5870123810028066048,16820058917093454,BP,1701.025099017731,18.973815026487912,355.65527767143766,52.58388765462219,6.763579,false,false,0,369295549951641967
